StopID;DIVA;StopText;Municipality;MunicipalityID;Longitude;Latitude
3780;60201001;Pensionistenwohnhaus Rosenberg;Wien;49000001;162.853.781;481.593.377
3782;60200227;Deißenhofergasse;Wien;49000001;162.798.535;481.580.673
3783;60200257;Eberstorferweg;Wien;49000001;162.799.613;481.546.515
3785;60201134;Ruzickagasse;Wien;49000001;162.843.361;481.525.180
3786;60200257;Eberstorferweg;Wien;49000001;162.801.499;481.546.455
3787;60200227;Deißenhofergasse;Wien;49000001;162.805.452;481.584.808
3788;60201001;Pensionistenwohnhaus Rosenberg;Wien;49000001;162.858.003;481.593.497
3789;60201284;Siedlung Rosenhügel;Wien;49000001;162.927.533;481.639.635
3790;60200096;Atzgersdorfer Straße;Wien;49000001;162.960.681;481.695.356
3791;60201332;Stranzenberggasse;Wien;49000001;162.960.232;481.722.435
3792;60200038;Zanggasse;Wien;49000001;164.848.221;482.389.556
3793;;Zanggasse;;;0000000000;0000000000
3794;60200278;Endemanngasse;Wien;49000001;162.910.914;481.530.753
3795;60200315;Filmteichstraße;Wien;49000001;163.966.345;481.523.502
3796;60202954;Gartenschaugasse;Wien;49000001;163.963.650;481.493.715
3797;60200177;Bergtaidingweg;Wien;49000001;163.972.004;481.467.463
3798;60200177;Bergtaidingweg;Wien;49000001;163.974.609;481.464.466
3799;60202954;Gartenschaugasse;Wien;49000001;163.968.231;481.488.141
3809;60200570;Hödlgasse;Wien;49000001;162.956.369;481.494.973
3810;60201134;Ruzickagasse;Wien;49000001;162.844.978;481.525.959
3811;60200740;Lainzer Tor;Wien;49000001;162.572.788;481.668.635
3812;60200595;Jenbachgasse;Wien;49000001;162.666.752;481.669.054
3813;60200686;Kleiner Ring;Wien;49000001;162.600.995;481.669.354
3814;60200686;Kleiner Ring;Wien;49000001;162.595.695;481.668.395
3815;60200595;Jenbachgasse;Wien;49000001;162.658.577;481.667.976
3816;60200248;Dr.-Schober-Straße;Wien;49000001;162.728.826;481.667.017
3817;60201534;Zifferergasse;Wien;49000001;165.360.440;482.271.857
3818;60201502;Wolfgang-Mühlwanger-Straße;Wien;49000001;165.368.345;482.305.189
3819;60201113;Krautackergasse;Wien;49000001;165.339.689;482.306.685
3820;60200693;Lehenstraße;Wien;49000001;165.224.795;482.309.736
3821;60200735;Oberlaa, Friedhof;Wien;49000001;164.049.349;481.382.464
3822;60201113;Krautackergasse;Wien;49000001;165.339.599;482.304.949
3823;60201502;Wolfgang-Mühlwanger-Straße;Wien;49000001;165.369.334;482.302.137
3824;60200767;Himmelteich;Wien;49000001;165.206.918;482.255.519
3825;60201881;Welthandelsplatz;Wien;49000001;164.053.661;482.154.489
3826;60200910;Aspern Nord  S U;Wien;49000001;165.046.299;482.338.518
3827;60201315;Barthgasse;Wien;49000001;164.068.753;481.932.968
3828;60201321;Hermine-Jursa-Gasse;Wien;49000001;164.109.536;481.892.905
3829;60201331;Maria-Jacobi-Gasse;Wien;49000001;164.073.963;481.872.543
3830;60201339;Neu Marx;Wien;49000001;164.036.144;481.870.207
3831;60201331;Maria-Jacobi-Gasse;Wien;49000001;164.073.334;481.871.704
3832;60201321;Hermine-Jursa-Gasse;Wien;49000001;164.110.165;481.893.384
3833;60200115;Baumgasse;Wien;49000001;164.051.056;481.931.711
3834;60201199;Schlachthausgasse U;Wien;49000001;164.070.729;481.947.819
3835;;Südtiroler Platz, Hauptbahnhof;;;0000000000;0000000000
3836;;Südtiroler Platz, Hauptbahnhof;;;0000000000;0000000000
3837;60201457;Paul-Wagner-Gasse;Wien;49000001;164.608.191;481.688.406
3838;60201478;Jedletzbergerstraße;Wien;49000001;164.695.507;481.671.151
3839;60201457;Paul-Wagner-Gasse;Wien;49000001;164.608.371;481.689.125
3840;60201478;Jedletzbergerstraße;Wien;49000001;164.696.316;481.671.570
3841;;Reumannplatz U;;;0000000000;0000000000
3842;60200033;Altes Landgut;Wien;49000001;163.831.238;481.614.469
3844;60200984;Attemsgasse;Wien;49000001;164.343.457;482.478.635
3845;60200278;Endemanngasse;Wien;49000001;162.901.122;481.530.933
3846;60201908;Atzgersdorf, Ziedlergasse;Wien;49000001;162.952.147;481.514.931
3847;60200520;Hietzing U;Wien;49000001;163.033.983;481.879.610
3848;60200430;Großer Biberhaufen;Wien;49000001;164.737.189;482.024.103
3849;60200970;Oberlaaer Platz;Wien;49000001;164.032.281;481.377.248
3850;60200067;Rudolfsheim, Anschützgasse;Wien;49000001;163.232.601;481.900.630
3851;60201184;Schottentor U;Wien;49000001;163.628.668;482.137.011
3852;60200334;Floridsdorf S U;Wien;49000001;163.992.486;482.573.979
3853;60200849;Matzleinsdorfer Platz S;Wien;49000001;163.588.962;481.791.744
3854;60200267;Eichenstraße;Wien;49000001;163.478.829;481.816.003
3855;60200986;;Wien;49000001;163.491.944;481.537.585
3856;;U-Bahnfahrt;;;0000000000;0000000000
3857;60201521;Zentralfriedhof, 2.Tor;Wien;49000001;164.414.604;481.538.784
3858;;Campus Wiener Netze;;;0000000000;0000000000
3859;;U-Bahnfahrt;;;0000000000;0000000000
3860;;Lechnerstraße;;;0000000000;0000000000
3861;;Dietrichgasse;;;0000000000;0000000000
3862;60200855;Valentingasse;Wien;49000001;162.629.113;481.481.728
3863;60200855;Valentingasse;Wien;49000001;162.629.113;481.480.709
3864;;Maurer-Berg;;;0000000000;0000000000
3865;60201105;Rodaun;Wien;49000001;162.621.746;481.335.163
3866;60201695;Rodaunbrücke;Wien;49000001;162.672.861;481.388.099
3867;60200095;An der Liesing;Wien;49000001;162.642.408;481.390.497
3868;60201413;Urban-Loritz-Platz;Wien;49000001;163.375.972;482.013.206
3869;60200560;Bahnhof Hütteldorf U;Wien;49000001;162.598.750;481.980.993
3871;60200393;Gersthof S;Wien;49000001;163.290.632;482.301.718
3872;;Schindlergasse;;;0000000000;0000000000
3873;;Schindlergasse;;;0000000000;0000000000
3874;60200393;Gersthof S;Wien;49000001;163.292.069;482.301.000
3875;60201920;Eduardgasse;Wien;49000001;163.403.101;482.227.091
3876;60201921;Johann-Nepomuk-Vogl-Platz;Wien;49000001;163.369.684;482.238.523
3877;60201921;Johann-Nepomuk-Vogl-Platz;Wien;49000001;163.363.126;482.240.438
3878;60201920;Eduardgasse;Wien;49000001;163.397.442;482.227.630
3879;60200116;Nussdorf, Beethovengang;Wien;49000001;163.625.344;482.595.031
3880;60201882;Nussdorfer Friedhof;Wien;49000001;163.582.225;482.604.361
3881;60201883;Heiligenstädter Friedhof;Wien;49000001;163.464.186;482.600.354
3882;60201915;Ferdinand-Platzer-Gasse;Wien;49000001;164.210.058;482.648.854
3883;60201915;Ferdinand-Platzer-Gasse;Wien;49000001;164.208.620;482.647.957
3884;60201916;Kaisergrund;Wien;49000001;164.205.297;482.683.955
3885;60201916;Kaisergrund;Wien;49000001;164.204.668;482.684.254
3886;60201040;Praterstern SU;Wien;49000001;163.915.320;482.181.724
3887;60201353;Südwestfriedhof, 2. und 8. Tor;Wien;49000001;163.030.031;481.611.353
3888;60201353;Südwestfriedhof, 2. und 8. Tor;Wien;49000001;163.028.504;481.606.200
3889;60201924;Mona-Lisa-Steiner-Weg;Wien;49000001;162.958.165;481.593.257
3890;60201924;Mona-Lisa-Steiner-Weg;Wien;49000001;162.958.704;481.594.156
3891;60201655;Emil-Behring-Weg;Wien;49000001;162.957.537;481.614.709
3892;60201655;Emil-Behring-Weg;Wien;49000001;162.955.920;481.615.068
3893;60201925;Lavendelweg;Wien;49000001;164.930.057;482.257.614
3894;60201925;Lavendelweg;Wien;49000001;164.930.147;482.258.571
3895;60201935;Atzgersdorf, Bildungscampus;Wien;49000001;163.014.490;481.527.517
3896;60200421;Gregorygasse;Wien;49000001;163.055.363;481.569.647
3897;60201937;Auer-Welsbach-Straße;Wien;49000001;163.060.484;481.523.022
3898;60201938;Seybelgasse;Wien;49000001;162.950.350;481.376.349
3899;60201938;Seybelgasse;Wien;49000001;162.949.811;481.374.970
3900;60201171;Schloss Alterlaa;Wien;49000001;163.065.694;481.492.336
3901;60201937;Auer-Welsbach-Straße;Wien;49000001;163.062.011;481.523.082
3902;60201935;Atzgersdorf, Bildungscampus;Wien;49000001;163.005.058;481.517.269
3903;60200788;Liesing S;Wien;49000001;162.831.234;481.349.072
3904;60201929;Käthe-Recheis-Gasse;Wien;49000001;165.121.488;482.286.578
3905;60201930;Ilse-Buck-Straße;Wien;49000001;165.118.793;482.314.404
3906;60201929;Käthe-Recheis-Gasse;Wien;49000001;165.124.093;482.286.698
3907;60201930;Ilse-Buck-Straße;Wien;49000001;165.118.883;482.311.591
3908;60200920;Neubaugasse, Burggasse;Wien;49000001;163.489.249;482.043.681
3909;;Donaustadtbrücke;;;0000000000;0000000000
3910;;Donaustadtbrücke;;;0000000000;0000000000
3911;60200910;Aspern Nord SU;Wien;49000001;165.046.389;482.337.681
3912;60201908;Atzgersdorf, Ziedlergasse;Wien;49000001;162.960.052;481.506.301
3913;60201751;Marietta-Blau-Gasse;Wien;49000001;164.592.830;482.419.111
3914;60201934;An der Kuhtrift;Wien;49000001;163.971.196;481.453.137
3915;60200951;Dückegasse;Wien;49000001;164.278.869;482.483.600
3916;;Hans-Czermak-Gasse;;;0000000000;0000000000
3917;60201942;Hans-Czermak-Gasse;Wien;49000001;164.257.938;482.561.778
3918;60201943;Satzingerweg;Wien;49000001;164.265.304;482.576.012
3919;60201942;Erna-Musik-Gasse;Wien;49000001;164.260.184;482.561.539
3920;;Hans-Czermak-Gasse;;;0000000000;0000000000
3921;60251359;Sofienalpenstraße, Roßkopfgasse;Wien;49000001;162.189.477;482.471.756
3922;60251359;Sofienalpenstraße, Roßkopfgasse;Wien;49000001;162.189.477;482.471.756
3938;60200198;Breitenfurter Straße, Willergasse;Wien;49000001;162.572.878;481.380.725
3939;60200198;Breitenfurter Straße, Willergasse;Wien;49000001;162.568.746;481.378.747
3940;60200478;Haselbrunnerstraße;Wien;49000001;162.511.882;481.372.812
3941;60200478;Haselbrunnerstraße;Wien;49000001;162.511.793;481.371.913
3942;60200647;Kalksburg, Kirchenplatz;Wien;49000001;162.449.450;481.377.368
3943;60200647;Kalksburg, Kirchenplatz;Wien;49000001;162.449.629;481.376.469
3944;60200451;Gütenbachstraße;Wien;49000001;162.413.247;481.381.864
3945;60201706;Kalksburg, Lodererweg;Wien;49000001;162.379.022;481.380.126
3946;60201122;Obachgasse;Wien;49000001;164.644.213;482.614.228
3947;60201408;Breitenlee, Rautenweg;Wien;49000001;164.905.623;482.559.804
3948;60200533;Fuchsienweg;Wien;49000001;164.927.183;482.585.223
3949;60200561;Pelargonienweg;Wien;49000001;164.956.288;482.567.460
3950;60201408;Breitenlee, Rautenweg;Wien;49000001;164.904.725;482.559.804
3951;60201675;Schillingstraße;Wien;49000001;164.710.599;482.605.377
3952;60201858;Aderklaaer Straße U;Wien;49000001;164.517.281;482.635.698
3953;60201956;Wassermanngasse;Wien;49000001;155.787.004;486.945.799
3954;60201956;Wassermanngasse;Wien;49000001;155.787.903;486.945.799
3955;60200454;Doderergasse;Wien;49000001;164.532.732;482.705.899
3956;60201451;Uhlirzgasse;Wien;49000001;164.486.739;482.683.775
3957;60200263;Egon-Friedell-Gasse;Wien;49000001;164.363.849;482.735.078
3958;60201359;Süßenbrunner Platz;Wien;49000001;164.956.737;482.775.912
3959;60201099;Richthausenstraße;Wien;49000001;163.223.977;482.241.635
3960;60201151;St.-Michael-Gasse;Wien;49000001;164.395.829;482.666.195
3961;60200617;Julius-Ficker-Straße;Wien;49000001;164.483.056;482.668.886
3962;60201675;Schillingstraße;Wien;49000001;164.709.701;482.605.377
3963;60201122;Obachgasse;Wien;49000001;164.645.112;482.614.228
3964;60200617;Julius-Ficker-Straße;Wien;49000001;164.481.349;482.668.527
3965;60201151;St.-Michael-Gasse;Wien;49000001;164.396.728;482.666.195
3966;60201828;Zentralfriedhof, 11.Tor;Wien;49000001;164.294.589;481.517.688
3967;;Vorgartenstraße U;;;0000000000;0000000000
3968;60201519;Bhf. Zentralfriedhof S;Wien;49000001;164.269.346;481.534.709
3969;60201519;Bhf. Zentralfriedhof S;Wien;49000001;164.267.640;481.535.008
3970;60201828;Zentralfriedhof 11. Tor;Wien;49000001;164.294.589;481.517.688
3971;60201334;Sängergasse;Wien;49000001;164.696.495;481.526.978
3972;60201671;Svetelskystraße;Wien;49000001;164.655.083;481.542.679
3973;60201955;Halblehenweg;Wien;49000001;150.678.375;487.235.788
3974;60201955;Halblehenweg;Wien;49000001;150.679.274;487.235.788
3975;60201752;Breitenlee, Schule;Wien;49000001;165.015.757;482.512.432
3976;60201947;Wildgartenallee;Wien;49000001;162.992.212;481.584.568
3977;60201947;Wildgartenallee;Wien;49000001;162.992.751;481.585.107
3989;60201522;Zentralfriedhof 3. Tor;Wien;49000001;164.492.937;481.522.423
3990;60201522;Zentralfriedhof 3. Tor;Wien;49000001;164.491.949;481.522.363
3991;;Zentralfriedhof 3. Tor;;;0000000000;0000000000
3992;60201522;Zentralfriedhof 3. Tor;Wien;49000001;164.491.051;481.522.363
4101;60201095;Reumannplatz;Wien;49000001;163.779.854;481.748.734
4102;60200627;Kagran;Wien;49000001;164.331.959;482.432.692
4103;60200666;Keplerplatz;Wien;49000001;163.762.697;481.792.942
4104;60200031;Alte Donau;Wien;49000001;164.243.565;482.380.761
4105;60201349;Südtiroler Platz;Wien;49000001;163.735.837;481.872.003
4106;60200641;Kaisermühlen, V.I.C.;Wien;49000001;164.162.627;482.327.987
4107;60201366;Taubstummengasse;Wien;49000001;163.704.037;481.937.999
4108;60200234;Donauinsel;Wien;49000001;164.112.860;482.292.562
4109;60200657;Karlsplatz;Wien;49000001;163.689.035;482.012.488
4110;60201433;Vorgartenstraße;Wien;49000001;164.011.440;482.237.086
4111;60201320;Stephansplatz;Wien;49000001;163.716.613;482.080.620
4112;60201040;Praterstern;Wien;49000001;163.915.770;482.191.061
4113;60201198;Schwedenplatz;Wien;49000001;163.780.932;482.118.813
4114;60200916;Nestroyplatz;Wien;49000001;163.854.864;482.153.173
4115;60200916;Nestroyplatz;Wien;49000001;163.855.133;482.152.634
4116;60201198;Schwedenplatz;Wien;49000001;163.780.753;482.119.292
4117;60201040;Praterstern;Wien;49000001;163.916.398;482.190.642
4118;60201320;Stephansplatz;Wien;49000001;163.715.535;482.081.099
4119;60201433;Vorgartenstraße;Wien;49000001;164.011.889;482.236.787
4120;60200657;Karlsplatz;Wien;49000001;163.689.933;482.012.308
4121;60200234;Donauinsel;Wien;49000001;164.113.848;482.291.784
4122;60201366;Taubstummengasse;Wien;49000001;163.702.959;481.937.879
4123;60200641;Kaisermühlen, V.I.C.;Wien;49000001;164.163.525;482.327.209
4124;60201349;Südtiroler Platz;Wien;49000001;163.735.029;481.871.884
4125;60200031;Alte Donau;Wien;49000001;164.244.194;482.380.282
4126;60200666;Keplerplatz;Wien;49000001;163.761.169;481.792.582
4127;60200627;Kagran;Wien;49000001;164.333.037;482.431.974
4128;60201095;Reumannplatz;Wien;49000001;163.778.956;481.748.554
4129;60201573;Troststraße;Wien;49000001;163.804.738;481.685.350
4130;60200033;Altes Landgut;Wien;49000001;163.835.191;481.618.304
4131;60200014;Alaudagasse;Wien;49000001;163.823.063;481.535.008
4132;60201481;Neulaa;Wien;49000001;163.863.038;481.455.775
4133;60200949;Oberlaa;Wien;49000001;164.002.098;481.421.728
4134;60200949;Oberlaa;Wien;49000001;164.002.367;481.422.208
4135;60201481;Neulaa;Wien;49000001;163.863.308;481.456.434
4136;60200014;Alaudagasse;Wien;49000001;163.824.321;481.534.948
4137;60200033;Altes Landgut;Wien;49000001;163.836.448;481.618.544
4138;60201573;Troststraße;Wien;49000001;163.805.277;481.685.590
4181;60200633;Kagraner Platz;Wien;49000001;164.434.547;482.503.998
4182;60201860;Rennbahnweg;Wien;49000001;164.496.351;482.575.594
4183;60201858;Aderklaaer Straße;Wien;49000001;164.516.832;482.634.143
4184;60201859;Großfeldsiedlung;Wien;49000001;164.479.283;482.710.324
4185;60200769;Leopoldau;Wien;49000001;164.518.000;482.775.016
4186;60200633;Kagraner Platz;Wien;49000001;164.433.558;482.504.237
4187;60201860;Rennbahnweg;Wien;49000001;164.495.542;482.575.893
4188;60201858;Aderklaaer Straße;Wien;49000001;164.515.485;482.634.143
4189;60201859;Großfeldsiedlung;Wien;49000001;164.478.205;482.710.085
4190;60200769;Leopoldau;Wien;49000001;164.517.820;482.775.554
4191;;Leopoldau Abstellbahnhof;;;0000000000;0000000000
4201;60201182;Schottenring;Wien;49000001;163.721.015;482.173.763
4202;60200657;Karlsplatz;Wien;49000001;163.692.269;482.010.332
4203;60201184;Schottentor;Wien;49000001;163.628.398;482.150.898
4204;60200835;Museumsquartier;Wien;49000001;163.610.612;482.029.132
4205;60201072;Rathaus;Wien;49000001;163.555.186;482.107.439
4206;60201430;Volkstheater;Wien;49000001;163.580.878;482.051.165
4209;60201430;Volkstheater;Wien;49000001;163.575.847;482.053.679
4210;60201072;Rathaus;Wien;49000001;163.554.198;482.098.639
4211;60200835;Museumsquartier;Wien;49000001;163.609.803;482.028.593
4212;60201184;Schottentor;Wien;49000001;163.628.937;482.150.239
4213;60200657;Karlsplatz;Wien;49000001;163.691.999;482.009.614
4214;60201182;Schottenring;Wien;49000001;163.722.632;482.172.506
4251;60200299;Aspernstraße;Wien;49000001;164.747.879;482.226.254
4252;60201278;Donauspital;Wien;49000001;164.656.341;482.196.029
4253;60200473;Hardeggasse;Wien;49000001;164.571.989;482.210.752
4254;60201299;Stadlau;Wien;49000001;164.489.973;482.196.568
4255;60200282;Donaumarina;Wien;49000001;164.312.106;482.063.198
4256;60200290;Donaustadtbrücke;Wien;49000001;164.398.973;482.117.017
4257;60201894;Stadion;Wien;49000001;164.202.871;482.108.876
4258;60201893;Krieau;Wien;49000001;164.138.552;482.147.785
4259;60201892;Messe;Wien;49000001;164.050.068;482.177.953
4260;60201040;Praterstern;Wien;49000001;163.933.736;482.186.273
4261;60201891;Taborstraße;Wien;49000001;163.813.451;482.192.198
4262;60201891;Taborstraße;Wien;49000001;163.813.721;482.191.660
4263;60201040;Praterstern;Wien;49000001;163.933.466;482.185.495
4264;60201892;Messe;Wien;49000001;164.049.888;482.177.414
4265;60201893;Krieau;Wien;49000001;164.137.204;482.146.588
4266;60201894;Stadion;Wien;49000001;164.201.703;482.108.158
4267;60200290;Donaustadtbrücke;Wien;49000001;164.399.782;482.116.478
4268;60200282;Donaumarina;Wien;49000001;164.313.184;482.062.181
4269;60201299;Stadlau;Wien;49000001;164.490.781;482.195.730
4270;60200473;Hardeggasse;Wien;49000001;164.571.719;482.209.376
4271;60201278;Donauspital;Wien;49000001;164.656.071;482.195.131
4272;60200299;Aspernstraße;Wien;49000001;164.749.406;482.225.775
4273;60201973;Oberes Hausfeld;Wien;49000001;164.786.686;482.285.082
4274;60200487;Hausfeldstraße;Wien;49000001;164.856.845;482.334.090
4275;60200910;Aspern Nord;Wien;49000001;165.047.467;482.344.921
4276;60200942;Seestadt;Wien;49000001;165.083.310;482.261.264
4277;60200942;Seestadt;Wien;49000001;165.085.017;482.260.905
4278;60200910;Aspern Nord;Wien;49000001;165.047.287;482.346.058
4279;60200487;Hausfeldstraße;Wien;49000001;164.856.755;482.335.108
4280;60201973;Oberes Hausfeld;Wien;49000001;164.785.249;482.285.321
4282;;Stadion;;;0000000000;0000000000
4401;60200560;Hütteldorf;Wien;49000001;162.607.284;481.969.676
4402;60200491;Heiligenstadt;Wien;49000001;163.659.840;482.488.804
4403;60200956;Ober St. Veit;Wien;49000001;162.760.716;481.922.129
4404;60200357;Friedensbrücke;Wien;49000001;163.639.178;482.278.080
4405;60201404;Unter St. Veit;Wien;49000001;162.862.315;481.910.572
4406;60201124;Roßauer Lände;Wien;49000001;163.675.291;482.223.441
4407;60200161;Braunschweiggasse;Wien;49000001;162.958.165;481.893.504
4408;60201182;Schottenring;Wien;49000001;163.719.308;482.165.862
4409;60200520;Hietzing;Wien;49000001;163.048.087;481.875.178
4410;60201198;Schwedenplatz;Wien;49000001;163.781.112;482.118.274
4411;60201211;Schönbrunn;Wien;49000001;163.188.763;481.860.265
4412;60200743;Landstraße;Wien;49000001;163.848.037;482.069.125
4413;60200863;Meidling, Hauptstraße;Wien;49000001;163.278.505;481.836.128
4414;60201305;Stadtpark;Wien;49000001;163.796.383;482.028.773
4415;60200827;Margaretengürtel;Wien;49000001;163.430.589;481.884.640
4416;60200657;Karlsplatz;Wien;49000001;163.696.581;482.003.925
4417;60201018;Pilgramgasse;Wien;49000001;163.543.418;481.921.471
4418;60200670;Kettenbrückengasse;Wien;49000001;163.580.788;481.966.622
4419;60200670;Kettenbrückengasse;Wien;49000001;163.580.967;481.966.083
4420;60201018;Pilgramgasse;Wien;49000001;163.542.609;481.921.590
4421;60200657;Karlsplatz;Wien;49000001;163.696.311;482.003.446
4422;60200827;Margaretengürtel;Wien;49000001;163.430.500;481.885.359
4423;60201305;Stadtpark;Wien;49000001;163.797.461;482.028.055
